method,accuracy,Recall,precision,training,model,time,memory
trained AE + SGD + XGB,0.8252250764020814,0.6645720476706393,0.5332985567727352,True,XGB,157.72603940963745,55088128
XGB,0.8339390435285372,0.6938592559390407,0.5383411580594679,False,XGB,1.2954964637756348,0
pretrained encoder + XGB,0.8241100189972743,0.6604991394148021,0.5338202051817075,False,XGB,2.221548557281494,49152
